Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
oraetlabora.sign-arequiredaction.dynv6.net,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
t.co,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
user-ingresoficoweb.jimdofree.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
cpmediass.web.app,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
mail-108299.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
bancolombia.com7todo7user.repl.co,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
torch-flame-artichoke.glitch.me,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
infoconnectsdati.men,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1,1
ipfs.io,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,1
mbway-pt.info,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1
005650.atsnx.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
o-1x.09998062.xyz,0,0,0,3,0,0,0,1,1,1,1,1,1,1,1,1,1
tinyurl.com,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
login-user-info.66-29-139-253.cprapid.com,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
nlb-racun.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
epilation-definitive-rouen.com,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1
infoclavedinamicabacolombia.navayedeso.repl.co,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
roman.spaloniakshell.pl,0,1,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1
s.id,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
u.to,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
gateway.pinata.cloud,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1
optimalhealthmedicalcentre.com.au,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1
206.189.191.231,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,1
hotmail-104583.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
pagamento.lojamaisvariedade.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
zkyu.gaslk.pl,0,1,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1
cebjiankb6.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
v2dd1p.xyz,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
ipfs.io,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1
phjewellers.co.uk,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
infura-ipfs.io,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1
ipfs.eth.aragon.network,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1
upsupsite.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1
00-lx.12412432.xyz,0,0,0,3,0,0,0,1,1,1,1,1,1,1,1,1,1
http-107025.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
is.gd,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
smbctb.pretise.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
charming-tu.47-87-189-107.plesk.page,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
absolutto.com.br,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1
line187.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
web-bancolombia-app.ingreso-obligatorio.repl.co,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
headquarters-hear.sexidude.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
beacons.ai,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
treatasurgent-cos-static-web-hosting-ubq.s3.us-east.cloud-object-storage.appdomain.cloud,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
ff3hmxu5im.snvctni.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
vnreintka8.web.app,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
onedrivefiles145.web.app,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
bafkreifjxrv3hwk6i2ypr2y6pvxdcyqrnlierciftt5niwits4vhixkyr4.ipfs.infura-ipfs.io,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
tuseguro-enlinea.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
jsacms.in,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1
lawyers-1318334846.cos.ap-jakarta.myqcloud.com,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
200forexpips.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
nftstorage.link,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1
ewqgrth.jungleheart.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
comunica-cliente.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
sp979895.sitebeat.crazydomains.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
ali.am,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
gateway.ipfs.io,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1
warning-of-account-viola-b5485.firebaseapp.com,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
phifaxa.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
main-seedify.pl,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1
kuerennkaycoato.co.jp.kuercnnkayceata.ltvfag.top,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
cloud.mymailwall.com,0,0,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1
